,epoch,training_loss,test_acc,epoch_train_time,total_train_time,lr
0,0,-1.0,0.0,-1.0,-1.0,-1.0
1,1,,-1.0,12.267509698867798,12.267509698867798,0.1
2,2,,-1.0,12.202476024627686,24.469985723495483,0.1
3,3,,-1.0,12.052688360214233,36.52267408370972,0.1
4,4,,-1.0,12.313528776168823,48.83620285987854,0.1
5,5,,-1.0,12.068344354629517,60.90454721450806,0.1
6,6,,-1.0,12.340950727462769,73.24549794197083,0.1
7,7,,-1.0,12.733744859695435,85.97924280166626,0.1
8,8,,-1.0,12.347153186798096,98.32639598846436,0.1
9,9,,-1.0,12.092871904373169,110.41926789283752,0.1
10,10,,-1.0,12.148072719573975,122.5673406124115,0.1
11,11,,-1.0,12.372307062149048,134.93964767456055,0.1
12,12,,-1.0,12.562219142913818,147.50186681747437,0.1
13,13,,-1.0,12.509706735610962,160.01157355308533,0.1
14,14,,-1.0,12.028621435165405,172.04019498825073,0.1
15,15,,-1.0,12.001476764678955,184.0416717529297,0.1
16,16,,-1.0,12.370386600494385,196.41205835342407,0.1
17,17,,-1.0,12.11273741722107,208.52479577064514,0.1
18,18,,-1.0,12.342743635177612,220.86753940582275,0.1
19,19,,-1.0,12.519634008407593,233.38717341423035,0.1
20,20,,10.0,12.155428409576416,245.54260182380676,0.1
21,21,,-1.0,12.778759717941284,258.32136154174805,0.1
22,22,,-1.0,12.31024956703186,270.6316111087799,0.1
23,23,,-1.0,12.498897075653076,283.130508184433,0.1
24,24,,-1.0,12.52738904953003,295.657897233963,0.1
25,25,,-1.0,12.024295568466187,307.6821928024292,0.1
26,26,,-1.0,12.229181289672852,319.91137409210205,0.1
27,27,,-1.0,12.399521589279175,332.3108956813812,0.1
28,28,,-1.0,12.228299617767334,344.53919529914856,0.1
29,29,,-1.0,12.247933149337769,356.7871284484863,0.1
30,30,,-1.0,12.571264505386353,369.3583929538727,0.1
31,31,,-1.0,12.219484329223633,381.5778772830963,0.1
32,32,,-1.0,12.272436380386353,393.85031366348267,0.1
33,33,,-1.0,12.605821132659912,406.4561347961426,0.1
34,34,,-1.0,12.465921401977539,418.9220561981201,0.1
35,35,,-1.0,12.384711265563965,431.3067674636841,0.1
36,36,,-1.0,12.638071060180664,443.94483852386475,0.1
37,37,,-1.0,12.434013366699219,456.37885189056396,0.1
38,38,,-1.0,12.5373375415802,468.91618943214417,0.1
39,39,,-1.0,11.822856664657593,480.73904609680176,0.1
40,40,,10.0,12.170494556427002,492.90954065322876,0.1
41,41,,-1.0,12.213566064834595,505.12310671806335,0.1
42,42,,-1.0,12.216300964355469,517.3394076824188,0.1
43,43,,-1.0,12.43830394744873,529.7777116298676,0.1
44,44,,-1.0,11.969577074050903,541.7472887039185,0.1
45,45,,-1.0,12.190294027328491,553.937582731247,0.1
46,46,,-1.0,12.508667230606079,566.446249961853,0.1
47,47,,-1.0,12.551111221313477,578.9973611831665,0.1
48,48,,-1.0,12.412632942199707,591.4099941253662,0.1
49,49,,-1.0,12.453868627548218,603.8638627529144,0.1
50,50,,-1.0,12.374410152435303,616.2382729053497,0.1
51,51,,-1.0,12.262719869613647,628.5009927749634,0.1
52,52,,-1.0,12.459645509719849,640.9606382846832,0.1
53,53,,-1.0,12.225631475448608,653.1862697601318,0.1
54,54,,-1.0,12.271993398666382,665.4582631587982,0.1
55,55,,-1.0,12.157783031463623,677.6160461902618,0.1
56,56,,-1.0,12.124797582626343,689.7408437728882,0.1
57,57,,-1.0,12.229238510131836,701.97008228302,0.1
58,58,,-1.0,12.11280345916748,714.0828857421875,0.1
59,59,,-1.0,12.3496253490448,726.4325110912323,0.1
60,60,,10.0,12.26580262184143,738.6983137130737,0.1
61,61,,-1.0,12.212753534317017,750.9110672473907,0.1
62,62,,-1.0,12.13902497291565,763.0500922203064,0.1
63,63,,-1.0,12.316046237945557,775.366138458252,0.1
64,64,,-1.0,11.780247449874878,787.1463859081268,0.1
65,65,,-1.0,12.317293882369995,799.4636797904968,0.1
66,66,,-1.0,12.593989849090576,812.0576696395874,0.1
67,67,,-1.0,12.332266330718994,824.3899359703064,0.1
68,68,,-1.0,12.163641691207886,836.5535776615143,0.1
69,69,,-1.0,12.423214197158813,848.9767918586731,0.1
70,70,,-1.0,12.257848739624023,861.2346405982971,0.1
71,71,,-1.0,12.207853317260742,873.4424939155579,0.1
72,72,,-1.0,12.512563228607178,885.955057144165,0.1
73,73,,-1.0,12.122902393341064,898.0779595375061,0.1
74,74,,-1.0,12.15454363822937,910.2325031757355,0.1
75,75,,-1.0,11.998934507369995,922.2314376831055,0.1
76,76,,-1.0,12.524174928665161,934.7556126117706,0.1
77,77,,-1.0,12.091319799423218,946.8469324111938,0.1
78,78,,-1.0,11.883725881576538,958.7306582927704,0.1
79,79,,-1.0,11.982983589172363,970.7136418819427,0.1
80,80,,10.0,11.957077264785767,982.6707191467285,0.1
81,81,,-1.0,12.346894979476929,995.0176141262054,0.01
82,82,,-1.0,12.200583457946777,1007.2181975841522,0.01
83,83,,-1.0,12.230520963668823,1019.448718547821,0.01
84,84,,-1.0,11.820800065994263,1031.2695186138153,0.01
85,85,,-1.0,11.771475315093994,1043.0409939289093,0.01
86,86,,-1.0,12.252071619033813,1055.2930655479431,0.01
87,87,,-1.0,12.582909345626831,1067.87597489357,0.01
88,88,,-1.0,12.604885339736938,1080.4808602333069,0.01
89,89,,-1.0,12.377411127090454,1092.8582713603973,0.01
90,90,,-1.0,12.298015832901001,1105.1562871932983,0.01
91,91,,-1.0,12.095652341842651,1117.251939535141,0.01
92,92,,-1.0,12.030296087265015,1129.282235622406,0.01
93,93,,-1.0,12.146618843078613,1141.4288544654846,0.01
94,94,,-1.0,12.1081862449646,1153.5370407104492,0.01
95,95,,-1.0,12.122050046920776,1165.65909075737,0.01
96,96,,-1.0,11.76286005973816,1177.4219508171082,0.01
97,97,,-1.0,12.101073980331421,1189.5230247974396,0.01
98,98,,-1.0,11.900773763656616,1201.4237985610962,0.01
99,99,,-1.0,12.275384664535522,1213.6991832256317,0.01
100,100,,10.0,11.927087306976318,1225.626270532608,0.01
101,101,,-1.0,11.75407361984253,1237.3803441524506,0.01
102,102,,-1.0,12.218855857849121,1249.5992000102997,0.01
103,103,,-1.0,12.048362493515015,1261.6475625038147,0.01
104,104,,-1.0,12.145734548568726,1273.7932970523834,0.01
