,epoch,training_loss,test_acc,epoch_train_time,total_train_time,lr
0,0,-1.0,38.73,-1.0,-1.0,-1.0
1,1,1.4877328872680664,-1.0,74.54161810874939,74.54161810874939,0.01
2,2,1.5418823957443237,-1.0,74.25492405891418,148.79654216766357,0.01
3,3,2.102090835571289,-1.0,74.87993502616882,223.6764771938324,0.01
4,4,1.920218825340271,-1.0,74.80320596694946,298.47968316078186,0.01
5,5,2.0483970642089844,-1.0,74.05389356613159,372.53357672691345,0.01
6,6,2.1248691082000732,-1.0,73.93908548355103,446.4726622104645,0.01
7,7,1.8576921224594116,-1.0,74.4764256477356,520.9490878582001,0.01
8,8,1.8892171382904053,-1.0,73.99657917022705,594.9456670284271,0.01
9,9,1.8151531219482422,-1.0,74.26344561576843,669.2091126441956,0.01
10,10,1.8771717548370361,28.55,73.51450824737549,742.723620891571,0.01
11,11,,-1.0,67.01292634010315,809.7365472316742,0.01
12,12,,-1.0,49.75177502632141,859.4883222579956,0.01
13,13,,-1.0,49.823811769485474,909.3121340274811,0.01
14,14,,-1.0,49.86440062522888,959.17653465271,0.01
15,15,,-1.0,50.15952658653259,1009.3360612392426,0.01
16,16,,-1.0,49.957396268844604,1059.2934575080872,0.01
17,17,,-1.0,50.147762298583984,1109.4412198066711,0.01
18,18,,-1.0,49.75628042221069,1159.1975002288818,0.01
19,19,,-1.0,49.62495946884155,1208.8224596977234,0.01
20,20,,10.0,49.817498445510864,1258.6399581432343,0.01
21,21,,-1.0,50.06396532058716,1308.7039234638214,0.01
22,22,,-1.0,50.51349949836731,1359.2174229621887,0.01
23,23,,-1.0,49.84851813316345,1409.0659410953522,0.01
24,24,,-1.0,50.40573167800903,1459.4716727733612,0.01
25,25,,-1.0,49.819098234176636,1509.2907710075378,0.01
26,26,,-1.0,50.300827503204346,1559.5915985107422,0.01
27,27,,-1.0,50.36053490638733,1609.9521334171295,0.01
28,28,,-1.0,50.486040353775024,1660.4381737709045,0.01
29,29,,-1.0,50.56184434890747,1711.000018119812,0.01
30,30,,10.0,50.395419120788574,1761.3954372406006,0.01
31,31,,-1.0,50.06183075904846,1811.457267999649,0.01
32,32,,-1.0,49.811108350753784,1861.2683763504028,0.01
33,33,,-1.0,50.138853788375854,1911.4072301387787,0.01
34,34,,-1.0,49.852640867233276,1961.259871006012,0.01
35,35,,-1.0,50.31913352012634,2011.5790045261383,0.01
36,36,,-1.0,49.98619842529297,2061.5652029514313,0.01
37,37,,-1.0,49.59717416763306,2111.1623771190643,0.01
38,38,,-1.0,49.95175123214722,2161.1141283512115,0.01
39,39,,-1.0,49.846656799316406,2210.960785150528,0.01
40,40,,10.0,50.75397443771362,2261.7147595882416,0.01
41,41,,-1.0,50.27577519416809,2311.9905347824097,0.01
42,42,,-1.0,50.01458668708801,2362.0051214694977,0.01
43,43,,-1.0,49.80187749862671,2411.8069989681244,0.01
44,44,,-1.0,49.73510456085205,2461.5421035289764,0.01
45,45,,-1.0,50.17089796066284,2511.7130014896393,0.01
46,46,,-1.0,50.19660496711731,2561.9096064567566,0.01
47,47,,-1.0,49.761770725250244,2611.671377182007,0.01
48,48,,-1.0,49.894126176834106,2661.565503358841,0.01
49,49,,-1.0,49.97140645980835,2711.5369098186493,0.01
50,50,,10.0,49.99368214607239,2761.5305919647217,0.01
51,51,,-1.0,49.844980001449585,2811.3755719661713,0.01
52,52,,-1.0,49.76953983306885,2861.14511179924,0.01
53,53,,-1.0,49.82824969291687,2910.973361492157,0.01
54,54,,-1.0,49.91163420677185,2960.884995698929,0.01
55,55,,-1.0,49.6849148273468,3010.5699105262756,0.01
56,56,,-1.0,50.0059654712677,3060.5758759975433,0.01
57,57,,-1.0,49.607924938201904,3110.1838009357452,0.01
58,58,,-1.0,49.92796492576599,3160.1117658615112,0.01
59,59,,-1.0,49.684282064437866,3209.796047925949,0.01
60,60,,10.0,49.64776253700256,3259.4438104629517,0.01
61,61,,-1.0,49.73587608337402,3309.1796865463257,0.01
62,62,,-1.0,49.56283497810364,3358.7425215244293,0.01
63,63,,-1.0,49.48419141769409,3408.2267129421234,0.01
64,64,,-1.0,49.83899283409119,3458.0657057762146,0.01
65,65,,-1.0,49.68154501914978,3507.7472507953644,0.01
66,66,,-1.0,49.74414038658142,3557.491391181946,0.01
67,67,,-1.0,49.88652515411377,3607.3779163360596,0.01
68,68,,-1.0,49.643853425979614,3657.021769762039,0.01
69,69,,-1.0,49.765862226486206,3706.7876319885254,0.01
70,70,,10.0,49.800339698791504,3756.587971687317,0.01
71,71,,-1.0,49.71721339225769,3806.3051850795746,0.01
72,72,,-1.0,49.990063190460205,3856.295248270035,0.01
73,73,,-1.0,49.98335552215576,3906.2786037921906,0.01
74,74,,-1.0,49.544410943984985,3955.8230147361755,0.01
75,75,,-1.0,49.53379464149475,4005.3568093776703,0.01
76,76,,-1.0,49.52190160751343,4054.8787109851837,0.01
77,77,,-1.0,50.0028121471405,4104.881523132324,0.01
78,78,,-1.0,49.837581396102905,4154.719104528427,0.01
79,79,,-1.0,50.22855305671692,4204.947657585144,0.01
80,80,,10.0,50.0101580619812,4254.957815647125,0.01
81,81,,-1.0,50.62543535232544,4305.583250999451,0.01
82,82,,-1.0,50.020209550857544,4355.603460550308,0.01
83,83,,-1.0,50.44333028793335,4406.046790838242,0.01
84,84,,-1.0,49.88676977157593,4455.9335606098175,0.01
85,85,,-1.0,49.72032618522644,4505.653886795044,0.01
86,86,,-1.0,50.372745990753174,4556.026632785797,0.01
87,87,,-1.0,49.81436634063721,4605.840999126434,0.01
88,88,,-1.0,50.36468744277954,4656.205686569214,0.01
89,89,,-1.0,49.82576775550842,4706.031454324722,0.01
90,90,,10.0,50.259188413619995,4756.290642738342,0.01
91,91,,-1.0,49.79363131523132,4806.084274053574,0.01
92,92,,-1.0,50.2413592338562,4856.32563328743,0.01
93,93,,-1.0,49.80137634277344,4906.127009630203,0.01
94,94,,-1.0,49.958850622177124,4956.08586025238,0.01
95,95,,-1.0,49.682551860809326,5005.76841211319,0.01
96,96,,-1.0,49.816548347473145,5055.584960460663,0.01
97,97,,-1.0,50.24700736999512,5105.831967830658,0.01
98,98,,-1.0,49.7946515083313,5155.626619338989,0.01
99,99,,-1.0,50.168084144592285,5205.7947034835815,0.01
100,100,,10.0,50.67966270446777,5256.474366188049,0.01
101,101,,-1.0,50.198813676834106,5306.673179864883,0.01
102,102,,-1.0,50.24815583229065,5356.921335697174,0.01
103,103,,-1.0,50.422595739364624,5407.343931436539,0.01
104,104,,-1.0,50.32793140411377,5457.6718628406525,0.01
105,105,,-1.0,50.16356682777405,5507.8354296684265,0.01
106,106,,-1.0,50.06390881538391,5557.89933848381,0.01
107,107,,-1.0,50.47399401664734,5608.373332500458,0.01
108,108,,-1.0,49.9908983707428,5658.364230871201,0.01
109,109,,-1.0,50.122040033340454,5708.486270904541,0.01
110,110,,10.0,50.30586218833923,5758.79213309288,0.01
111,111,,-1.0,50.249553203582764,5809.041686296463,0.01
112,112,,-1.0,50.236668825149536,5859.278355121613,0.01
113,113,,-1.0,49.69560647010803,5908.973961591721,0.01
114,114,,-1.0,49.97357416152954,5958.94753575325,0.01
115,115,,-1.0,49.81538534164429,6008.762921094894,0.01
116,116,,-1.0,50.17071890830994,6058.933640003204,0.01
117,117,,-1.0,50.08923578262329,6109.022875785828,0.01
118,118,,-1.0,50.06663107872009,6159.089506864548,0.01
119,119,,-1.0,49.616424322128296,6208.705931186676,0.01
120,120,,10.0,50.15906548500061,6258.864996671677,0.01
121,121,,-1.0,49.858890533447266,6308.723887205124,0.001
122,122,,-1.0,50.185166358947754,6358.909053564072,0.001
123,123,,-1.0,50.08272647857666,6408.991780042648,0.001
124,124,,-1.0,50.191218852996826,6459.182998895645,0.001
125,125,,-1.0,50.43580961227417,6509.618808507919,0.001
126,126,,-1.0,50.744162797927856,6560.362971305847,0.001
127,127,,-1.0,49.84550070762634,6610.2084720134735,0.001
128,128,,-1.0,49.784884214401245,6659.993356227875,0.001
129,129,,-1.0,49.937912702560425,6709.931268930435,0.001
130,130,,10.0,49.89355492591858,6759.824823856354,0.001
131,131,,-1.0,49.824352979660034,6809.649176836014,0.001
132,132,,-1.0,49.754334926605225,6859.403511762619,0.001
133,133,,-1.0,50.262102365493774,6909.665614128113,0.001
134,134,,-1.0,50.04106283187866,6959.7066769599915,0.001
135,135,,-1.0,49.98119878768921,7009.687875747681,0.001
136,136,,-1.0,50.29340100288391,7059.981276750565,0.001
137,137,,-1.0,50.5215106010437,7110.502787351608,0.001
138,138,,-1.0,50.518434047698975,7161.021221399307,0.001
139,139,,-1.0,49.750760078430176,7210.771981477737,0.001
140,140,,10.0,49.80527091026306,7260.5772523880005,0.001
141,141,,-1.0,49.893654346466064,7310.470906734467,0.001
142,142,,-1.0,49.86410617828369,7360.33501291275,0.001
143,143,,-1.0,50.04091477394104,7410.375927686691,0.001
144,144,,-1.0,50.06480097770691,7460.440728664398,0.001
145,145,,-1.0,50.16422963142395,7510.604958295822,0.001
146,146,,-1.0,50.26953864097595,7560.874496936798,0.001
147,147,,-1.0,50.294591426849365,7611.1690883636475,0.001
148,148,,-1.0,49.772974729537964,7660.942063093185,0.001
149,149,,-1.0,49.74990916252136,7710.691972255707,0.001
150,150,,10.0,50.26460909843445,7760.956581354141,0.001
151,151,,-1.0,50.064337730407715,7811.020919084549,0.001
152,152,,-1.0,50.30167269706726,7861.322591781616,0.001
153,153,,-1.0,50.01218867301941,7911.334780454636,0.001
154,154,,-1.0,50.1300733089447,7961.46485376358,0.001
155,155,,-1.0,50.42851758003235,8011.893371343613,0.001
156,156,,-1.0,50.16322898864746,8062.05660033226,0.001
157,157,,-1.0,49.96361517906189,8112.020215511322,0.001
158,158,,-1.0,50.79336881637573,8162.813584327698,0.001
159,159,,-1.0,49.95601296424866,8212.769597291946,0.001
160,160,,10.0,50.54497146606445,8263.31456875801,0.001
