,epoch,training_loss,test_acc,epoch_train_time,total_train_time,lr
0,0,-1.0,10.38,-1.0,-1.0,-1.0
1,1,1.745851755142212,-1.0,76.70418977737427,76.70418977737427,0.1
2,2,1.7258102893829346,-1.0,76.10522842407227,152.80941820144653,0.1
3,3,1.5122952461242676,-1.0,76.88291835784912,229.69233655929565,0.1
4,4,1.262012004852295,-1.0,76.40475916862488,306.09709572792053,0.1
5,5,1.0244505405426025,-1.0,76.26844763755798,382.3655433654785,0.1
6,6,0.9225467443466187,-1.0,76.59258937835693,458.95813274383545,0.1
7,7,1.0136483907699585,-1.0,76.68553256988525,535.6436653137207,0.1
8,8,1.105233907699585,-1.0,76.25700950622559,611.9006748199463,0.1
9,9,1.1693780422210693,-1.0,76.94375848770142,688.8444333076477,0.1
10,10,1.0004050731658936,69.64,76.68031454086304,765.5247478485107,0.1
11,11,0.6695566177368164,-1.0,76.2967381477356,841.8214859962463,0.1
12,12,0.8564959764480591,-1.0,76.86261105537415,918.6840970516205,0.1
13,13,0.5952897667884827,-1.0,75.97689914703369,994.6609961986542,0.1
14,14,0.6427656412124634,-1.0,76.29610228538513,1070.9570984840393,0.1
15,15,0.5928624868392944,-1.0,76.60568690299988,1147.5627853870392,0.1
16,16,0.49193471670150757,-1.0,76.86092066764832,1224.4237060546875,0.1
17,17,0.6315406560897827,-1.0,76.09446477890015,1300.5181708335876,0.1
18,18,0.42975106835365295,-1.0,76.86360454559326,1377.381775379181,0.1
19,19,0.5146017074584961,-1.0,76.52848410606384,1453.9102594852448,0.1
20,20,0.4604867398738861,80.73,76.46658229827881,1530.3768417835236,0.1
21,21,0.5112007856369019,-1.0,76.67548632621765,1607.0523281097412,0.1
22,22,0.5422548055648804,-1.0,76.11752104759216,1683.1698491573334,0.1
23,23,0.5102207660675049,-1.0,76.33663487434387,1759.5064840316772,0.1
24,24,0.2874210774898529,-1.0,76.34415578842163,1835.8506398200989,0.1
25,25,0.39413389563560486,-1.0,75.8722448348999,1911.7228846549988,0.1
26,26,0.4858121871948242,-1.0,76.18967175483704,1987.9125564098358,0.1
27,27,0.2644609212875366,-1.0,75.87158203125,2063.784138441086,0.1
28,28,0.4310881495475769,-1.0,76.35310673713684,2140.1372451782227,0.1
29,29,0.41283005475997925,-1.0,76.54269909858704,2216.6799442768097,0.1
30,30,0.3301037847995758,83.83,76.80128812789917,2293.481232404709,0.1
31,31,0.2988763153553009,-1.0,76.93611145019531,2370.417343854904,0.1
32,32,0.6155732870101929,-1.0,76.53360319137573,2446.95094704628,0.1
33,33,0.3413107097148895,-1.0,76.44262385368347,2523.3935708999634,0.1
34,34,0.35493889451026917,-1.0,76.06460690498352,2599.458177804947,0.1
35,35,0.2972111105918884,-1.0,75.92166948318481,2675.3798472881317,0.1
36,36,0.2436448335647583,-1.0,76.93029427528381,2752.3101415634155,0.1
37,37,0.23712897300720215,-1.0,76.48408246040344,2828.794224023819,0.1
38,38,0.4121728837490082,-1.0,76.38321089744568,2905.1774349212646,0.1
39,39,0.38587474822998047,-1.0,76.69448232650757,2981.871917247772,0.1
40,40,0.23930588364601135,84.58,76.05478930473328,3057.9267065525055,0.1
41,41,0.3052082657814026,-1.0,76.0693428516388,3133.9960494041443,0.1
42,42,0.4670492112636566,-1.0,76.33349442481995,3210.3295438289642,0.1
43,43,0.39020681381225586,-1.0,76.5388913154602,3286.8684351444244,0.1
44,44,0.2817029058933258,-1.0,76.04643321037292,3362.9148683547974,0.1
45,45,0.35674139857292175,-1.0,75.94386148452759,3438.858729839325,0.1
46,46,0.30882999300956726,-1.0,76.33694767951965,3515.1956775188446,0.1
47,47,0.2978253960609436,-1.0,76.62593865394592,3591.8216161727905,0.1
48,48,0.3154153525829315,-1.0,77.20016288757324,3669.0217790603638,0.1
49,49,0.15683728456497192,-1.0,76.54782152175903,3745.569600582123,0.1
50,50,0.34881001710891724,84.8,76.33567070960999,3821.905271291733,0.1
51,51,0.2443743646144867,-1.0,77.12150192260742,3899.02677321434,0.1
52,52,0.2469935119152069,-1.0,76.4156060218811,3975.4423792362213,0.1
53,53,0.11815015971660614,-1.0,76.60077929496765,4052.043158531189,0.1
54,54,0.46248117089271545,-1.0,77.0542163848877,4129.097374916077,0.1
55,55,0.22965772449970245,-1.0,76.55572390556335,4205.65309882164,0.1
56,56,0.3047613501548767,-1.0,76.61022019386292,4282.263319015503,0.1
57,57,0.22149789333343506,-1.0,77.18196773529053,4359.4452867507935,0.1
58,58,0.2511639893054962,-1.0,76.06777954101562,4435.513066291809,0.1
59,59,0.2831462025642395,-1.0,76.75822353363037,4512.271289825439,0.1
60,60,0.24914085865020752,85.35,76.30002188682556,4588.571311712265,0.1
61,61,0.1458853930234909,-1.0,76.2081048488617,4664.779416561127,0.1
62,62,0.23344512283802032,-1.0,76.6561107635498,4741.4355273246765,0.1
63,63,0.2946116328239441,-1.0,76.71616697311401,4818.1516942977905,0.1
64,64,0.28431493043899536,-1.0,77.032644033432,4895.1843383312225,0.1
65,65,0.2182665318250656,-1.0,76.39579272270203,4971.580131053925,0.1
66,66,0.17135240137577057,-1.0,76.08605456352234,5047.666185617447,0.1
67,67,0.24955157935619354,-1.0,76.14878416061401,5123.814969778061,0.1
68,68,0.20588962733745575,-1.0,76.2752594947815,5200.090229272842,0.1
69,69,0.22706516087055206,-1.0,76.40490508079529,5276.495134353638,0.1
70,70,0.15228396654129028,85.1,76.25494599342346,5352.750080347061,0.1
71,71,0.4632720947265625,-1.0,76.5524480342865,5429.302528381348,0.1
72,72,0.2648649513721466,-1.0,76.47680449485779,5505.779332876205,0.1
73,73,0.18427380919456482,-1.0,76.69298052787781,5582.472313404083,0.1
74,74,0.16804923117160797,-1.0,76.42408275604248,5658.896396160126,0.1
75,75,0.31426355242729187,-1.0,75.91376280784607,5734.810158967972,0.1
76,76,0.3000134825706482,-1.0,76.18936944007874,5810.9995284080505,0.1
77,77,0.283602774143219,-1.0,75.82553601264954,5886.8250644207,0.1
78,78,0.1801837831735611,-1.0,76.57498526573181,5963.400049686432,0.1
79,79,0.1977255940437317,-1.0,76.34984278678894,6039.749892473221,0.1
80,80,0.22464776039123535,86.16,76.42601203918457,6116.175904512405,0.1
81,81,0.06023424118757248,-1.0,76.5410590171814,6192.716963529587,0.01
82,82,0.10970824956893921,-1.0,76.47092342376709,6269.187886953354,0.01
83,83,0.11703692376613617,-1.0,75.82941722869873,6345.017304182053,0.01
84,84,0.172695592045784,-1.0,75.90587019920349,6420.923174381256,0.01
85,85,0.07217861711978912,-1.0,76.3740062713623,6497.297180652618,0.01
86,86,0.04653799161314964,-1.0,76.40288496017456,6573.700065612793,0.01
87,87,0.08283854275941849,-1.0,76.53380537033081,6650.233870983124,0.01
88,88,0.09067268669605255,-1.0,76.11022090911865,6726.344091892242,0.01
89,89,0.07369209825992584,-1.0,76.83480191230774,6803.17889380455,0.01
90,90,0.11807522922754288,89.26,76.63518190383911,6879.814075708389,0.01
91,91,0.09730702638626099,-1.0,76.02593731880188,6955.840013027191,0.01
92,92,0.030674338340759277,-1.0,76.71001100540161,7032.550024032593,0.01
93,93,0.11587817966938019,-1.0,76.2038803100586,7108.753904342651,0.01
94,94,0.14837855100631714,-1.0,76.18680453300476,7184.940708875656,0.01
95,95,0.030746499076485634,-1.0,76.69026160240173,7261.630970478058,0.01
96,96,0.10146067291498184,-1.0,76.75543165206909,7338.386402130127,0.01
97,97,0.02329421043395996,-1.0,76.05581164360046,7414.442213773727,0.01
98,98,0.06726223230361938,-1.0,76.97380495071411,7491.4160187244415,0.01
99,99,0.08476702868938446,-1.0,76.50961494445801,7567.9256336688995,0.01
100,100,0.03350621089339256,89.04,77.33700966835022,7645.26264333725,0.01
101,101,0.01636318489909172,-1.0,76.26951217651367,7721.532155513763,0.01
102,102,0.06071777269244194,-1.0,76.78198409080505,7798.3141396045685,0.01
103,103,0.009107127785682678,-1.0,75.88917303085327,7874.203312635422,0.01
104,104,0.09347258508205414,-1.0,76.29779148101807,7950.50110411644,0.01
105,105,0.08094243705272675,-1.0,76.40150904655457,8026.902613162994,0.01
106,106,0.023498352617025375,-1.0,76.78800415992737,8103.690617322922,0.01
107,107,0.02309023030102253,-1.0,76.59189987182617,8180.282517194748,0.01
108,108,0.03187638148665428,-1.0,76.65492033958435,8256.937437534332,0.01
109,109,0.04762602970004082,-1.0,76.47875165939331,8333.416189193726,0.01
110,110,0.03155162185430527,89.08,76.71135759353638,8410.127546787262,0.01
111,111,0.037514425814151764,-1.0,76.58496594429016,8486.712512731552,0.01
112,112,0.03790254890918732,-1.0,76.23339891433716,8562.94591164589,0.01
113,113,0.05978826433420181,-1.0,76.04419589042664,8638.990107536316,0.01
114,114,0.021699625998735428,-1.0,76.25985050201416,8715.24995803833,0.01
115,115,0.04313929006457329,-1.0,77.0298285484314,8792.279786586761,0.01
116,116,0.036770205944776535,-1.0,76.97255992889404,8869.252346515656,0.01
117,117,0.0401579812169075,-1.0,77.09852933883667,8946.350875854492,0.01
118,118,0.021514352411031723,-1.0,76.205983877182,9022.556859731674,0.01
119,119,0.12784910202026367,-1.0,76.28303337097168,9098.839893102646,0.01
120,120,0.024858687072992325,89.3,76.76804852485657,9175.607941627502,0.01
121,121,0.12012903392314911,-1.0,76.56915187835693,9252.17709350586,0.001
122,122,0.01668689027428627,-1.0,76.43989109992981,9328.61698460579,0.001
