,epoch,training_loss,test_acc,epoch_train_time,total_train_time,lr
0,0,-1.0,0.0,-1.0,-1.0,-1.0
1,1,2.3576762676239014,-1.0,12.574293613433838,12.574293613433838,0.01
2,2,1.9228101968765259,-1.0,12.476166009902954,25.050459623336792,0.01
3,3,1.64145827293396,-1.0,12.937405824661255,37.98786544799805,0.01
4,4,1.526125192642212,-1.0,12.849503755569458,50.837369203567505,0.01
5,5,1.3854873180389404,-1.0,12.54579496383667,63.383164167404175,0.01
6,6,0.9746095538139343,-1.0,12.639620065689087,76.02278423309326,0.01
7,7,1.239974021911621,-1.0,12.732786178588867,88.75557041168213,0.01
8,8,0.9096029996871948,-1.0,12.607020139694214,101.36259055137634,0.01
9,9,0.7727479934692383,-1.0,12.820497274398804,114.18308782577515,0.01
10,10,0.6934577822685242,74.59,12.744251728057861,126.92733955383301,0.01
11,11,0.7792599201202393,-1.0,12.316170454025269,139.24351000785828,0.01
12,12,0.6444892883300781,-1.0,12.720484495162964,151.96399450302124,0.01
13,13,0.660749614238739,-1.0,12.902226448059082,164.86622095108032,0.01
14,14,0.41974300146102905,-1.0,12.809369802474976,177.6755907535553,0.01
15,15,0.5562836527824402,-1.0,13.05021619796753,190.72580695152283,0.01
16,16,0.5341858267784119,-1.0,12.80549144744873,203.53129839897156,0.01
17,17,0.538120687007904,-1.0,12.743743658065796,216.27504205703735,0.01
18,18,0.4524257779121399,-1.0,12.41013789176941,228.68517994880676,0.01
19,19,0.4120022654533386,-1.0,12.618307113647461,241.30348706245422,0.01
20,20,0.33518439531326294,82.25,12.923491954803467,254.2269790172577,0.01
21,21,0.3153906464576721,-1.0,12.839197874069214,267.0661768913269,0.01
22,22,0.49157172441482544,-1.0,12.581730842590332,279.64790773391724,0.01
23,23,0.3257877230644226,-1.0,12.608613729476929,292.25652146339417,0.01
24,24,0.38446271419525146,-1.0,12.53058934211731,304.7871108055115,0.01
25,25,0.3616369068622589,-1.0,12.893471002578735,317.6805818080902,0.01
26,26,0.32380396127700806,-1.0,12.243413209915161,329.92399501800537,0.01
27,27,0.251328706741333,-1.0,12.471329927444458,342.39532494544983,0.01
28,28,0.31020185351371765,-1.0,12.603829145431519,354.99915409088135,0.01
29,29,0.22594134509563446,-1.0,12.348371982574463,367.3475260734558,0.01
30,30,0.46030840277671814,83.62,12.72933840751648,380.0768644809723,0.01
31,31,0.1883673220872879,-1.0,12.443349361419678,392.52021384239197,0.01
32,32,0.2847115397453308,-1.0,12.961669206619263,405.48188304901123,0.01
33,33,0.4889715611934662,-1.0,12.430078744888306,417.91196179389954,0.01
34,34,0.32289955019950867,-1.0,12.6136155128479,430.52557730674744,0.01
35,35,0.29580575227737427,-1.0,12.419846773147583,442.945424079895,0.01
36,36,0.3294127583503723,-1.0,12.911432981491089,455.8568570613861,0.01
37,37,0.19188986718654633,-1.0,12.630053043365479,468.4869101047516,0.01
38,38,0.1275356113910675,-1.0,12.655838966369629,481.1427490711212,0.01
39,39,0.2379670888185501,-1.0,12.808389663696289,493.9511387348175,0.01
40,40,0.18213792145252228,85.11,12.277079820632935,506.22821855545044,0.01
41,41,0.19443725049495697,-1.0,12.8258957862854,519.0541143417358,0.01
42,42,0.18496179580688477,-1.0,12.590451717376709,531.6445660591125,0.01
43,43,0.13932117819786072,-1.0,12.6377432346344,544.282309293747,0.01
44,44,0.3608420491218567,-1.0,12.638666152954102,556.920975446701,0.01
45,45,0.14359010756015778,-1.0,12.399029970169067,569.3200054168701,0.01
46,46,0.14052008092403412,-1.0,12.649319171905518,581.9693245887756,0.01
47,47,0.14516694843769073,-1.0,12.703866004943848,594.6731905937195,0.01
48,48,0.13607734441757202,-1.0,12.75162148475647,607.424812078476,0.01
49,49,0.25236985087394714,-1.0,12.524152517318726,619.9489645957947,0.01
50,50,0.1284821629524231,86.16,12.760909795761108,632.7098743915558,0.01
51,51,0.3144664168357849,-1.0,12.811665296554565,645.5215396881104,0.01
52,52,0.19170546531677246,-1.0,12.349212169647217,657.8707518577576,0.01
53,53,0.047300517559051514,-1.0,12.70492172241211,670.5756735801697,0.01
54,54,0.14576886594295502,-1.0,12.336703062057495,682.9123766422272,0.01
55,55,0.12869298458099365,-1.0,12.765108108520508,695.6774847507477,0.01
56,56,0.1818101555109024,-1.0,12.331637144088745,708.0091218948364,0.01
57,57,0.2368321716785431,-1.0,12.197383880615234,720.2065057754517,0.01
58,58,0.0695972889661789,-1.0,13.307324409484863,733.5138301849365,0.01
59,59,0.23000085353851318,-1.0,12.677179336547852,746.1910095214844,0.01
60,60,0.09302343428134918,86.46,13.013206243515015,759.2042157649994,0.01
61,61,0.05046233534812927,-1.0,12.930781841278076,772.1349976062775,0.01
62,62,0.22673530876636505,-1.0,12.481224060058594,784.6162216663361,0.01
63,63,0.08898895978927612,-1.0,12.904934167861938,797.521155834198,0.01
64,64,0.1820755898952484,-1.0,12.689521074295044,810.210676908493,0.01
65,65,0.027608266100287437,-1.0,12.667142152786255,822.8778190612793,0.01
66,66,0.07749469578266144,-1.0,12.870418310165405,835.7482373714447,0.01
67,67,0.11476385593414307,-1.0,12.7624831199646,848.5107204914093,0.01
68,68,0.09115825593471527,-1.0,12.677093267440796,861.1878137588501,0.01
69,69,0.03686538711190224,-1.0,12.576220273971558,873.7640340328217,0.01
70,70,0.029892101883888245,86.29,12.573111772537231,886.3371458053589,0.01
71,71,0.11251811683177948,-1.0,12.51766562461853,898.8548114299774,0.01
72,72,0.08871372789144516,-1.0,12.688366651535034,911.5431780815125,0.01
73,73,0.03177833557128906,-1.0,12.719558715820312,924.2627367973328,0.01
74,74,0.115192711353302,-1.0,12.761165380477905,937.0239021778107,0.01
75,75,0.06052522733807564,-1.0,12.807210445404053,949.8311126232147,0.01
76,76,0.06574147194623947,-1.0,12.806466102600098,962.6375787258148,0.01
77,77,0.11393551528453827,-1.0,12.633439779281616,975.2710185050964,0.01
78,78,0.04980635270476341,-1.0,12.799033641815186,988.0700521469116,0.01
79,79,0.11013765633106232,-1.0,12.82448434829712,1000.8945364952087,0.01
80,80,0.027278229594230652,86.73,13.037648916244507,1013.9321854114532,0.01
81,81,0.13435828685760498,-1.0,12.614531517028809,1026.546716928482,0.01
82,82,0.0632273331284523,-1.0,12.534311056137085,1039.0810279846191,0.01
83,83,0.07131913304328918,-1.0,12.264200687408447,1051.3452286720276,0.01
84,84,0.04089740663766861,-1.0,12.46414303779602,1063.8093717098236,0.01
85,85,0.03362131863832474,-1.0,12.457240581512451,1076.266612291336,0.01
86,86,0.09748339653015137,-1.0,12.940218687057495,1089.2068309783936,0.01
87,87,0.07216048985719681,-1.0,12.587442874908447,1101.794273853302,0.01
88,88,0.019323308020830154,-1.0,12.619775533676147,1114.4140493869781,0.01
89,89,0.039817437529563904,-1.0,12.42976975440979,1126.843819141388,0.01
90,90,0.02963576279580593,86.77,12.592099905014038,1139.435919046402,0.01
91,91,0.029957974329590797,-1.0,12.332178115844727,1151.7680971622467,0.01
92,92,0.14951232075691223,-1.0,12.85166335105896,1164.6197605133057,0.01
93,93,0.049031198024749756,-1.0,13.070705652236938,1177.6904661655426,0.01
94,94,0.04134821146726608,-1.0,13.02546739578247,1190.715933561325,0.01
95,95,0.052773021161556244,-1.0,12.498472452163696,1203.2144060134888,0.01
96,96,0.09591934829950333,-1.0,12.774123191833496,1215.9885292053223,0.01
97,97,0.08304218202829361,-1.0,12.633657693862915,1228.6221868991852,0.01
98,98,0.0658441111445427,-1.0,12.397250175476074,1241.0194370746613,0.01
99,99,0.08012588322162628,-1.0,13.244481086730957,1254.2639181613922,0.01
100,100,0.09441439062356949,87.34,12.928703784942627,1267.1926219463348,0.01
101,101,0.0414729006588459,-1.0,13.3467378616333,1280.5393598079681,0.01
102,102,0.03474057465791702,-1.0,12.470362186431885,1293.0097219944,0.01
103,103,0.02990320324897766,-1.0,12.68034315109253,1305.6900651454926,0.01
104,104,0.09946591407060623,-1.0,12.853752851486206,1318.5438179969788,0.01
105,105,0.06655669957399368,-1.0,12.72560429573059,1331.2694222927094,0.01
106,106,0.040309078991413116,-1.0,12.558578729629517,1343.8280010223389,0.01
107,107,0.01964409463107586,-1.0,12.856849431991577,1356.6848504543304,0.01
