,epoch,training_loss,test_acc,epoch_train_time,total_train_time,lr
0,0,-1.0,71.74,-1.0,-1.0,-1.0
1,1,0.14439664781093597,-1.0,74.06598472595215,74.06598472595215,0.01
2,2,0.23411154747009277,-1.0,74.84879040718079,148.91477513313293,0.01
3,3,0.32819125056266785,-1.0,73.92633390426636,222.8411090373993,0.01
4,4,0.2142840176820755,-1.0,74.7014319896698,297.5425410270691,0.01
5,5,0.1775166541337967,-1.0,73.84886932373047,371.39141035079956,0.01
6,6,0.1301652491092682,-1.0,73.4785487651825,444.86995911598206,0.01
7,7,0.24588322639465332,-1.0,73.6172263622284,518.4871854782104,0.01
8,8,0.27365779876708984,-1.0,74.51312589645386,593.0003113746643,0.01
9,9,0.22461040318012238,-1.0,73.61781215667725,666.6181235313416,0.01
10,10,0.36955705285072327,88.86,73.74668192863464,740.3648054599762,0.01
11,11,0.1356339454650879,-1.0,73.61027145385742,813.9750769138336,0.01
12,12,0.23300877213478088,-1.0,73.50814390182495,887.4832208156586,0.01
13,13,0.1346787065267563,-1.0,73.01844596862793,960.5016667842865,0.01
14,14,0.036159299314022064,-1.0,73.6022298336029,1034.1038966178894,0.01
15,15,0.11285972595214844,-1.0,73.21415400505066,1107.31805062294,0.01
16,16,0.16315361857414246,-1.0,73.46972489356995,1180.78777551651,0.01
17,17,0.06455451995134354,-1.0,73.72542762756348,1254.5132031440735,0.01
18,18,0.17771384119987488,-1.0,73.30440258979797,1327.8176057338715,0.01
19,19,0.1623668670654297,-1.0,73.9739601612091,1401.7915658950806,0.01
20,20,0.2512509524822235,90.24,73.73883199691772,1475.5303978919983,0.01
21,21,0.14797626435756683,-1.0,74.9251434803009,1550.4555413722992,0.01
22,22,0.20852473378181458,-1.0,73.21548223495483,1623.671023607254,0.01
23,23,0.12782835960388184,-1.0,73.39697623252869,1697.0679998397827,0.01
24,24,0.06982101500034332,-1.0,73.79481434822083,1770.8628141880035,0.01
25,25,0.15372855961322784,-1.0,73.7391836643219,1844.6019978523254,0.01
26,26,0.06518343836069107,-1.0,73.53136324882507,1918.1333611011505,0.01
27,27,0.12919573485851288,-1.0,74.3681480884552,1992.5015091896057,0.01
28,28,0.10591880232095718,-1.0,73.8677806854248,2066.3692898750305,0.01
29,29,0.2711330056190491,-1.0,73.69910335540771,2140.0683932304382,0.01
30,30,0.12358997017145157,88.17,73.00087904930115,2213.0692722797394,0.01
31,31,0.14663933217525482,-1.0,73.77507734298706,2286.8443496227264,0.01
32,32,0.17696943879127502,-1.0,73.5613021850586,2360.405651807785,0.01
33,33,0.1339300572872162,-1.0,73.4282648563385,2433.8339166641235,0.01
34,34,0.14885130524635315,-1.0,74.28379511833191,2508.1177117824554,0.01
35,35,0.2389407455921173,-1.0,73.84825897216797,2581.9659707546234,0.01
